18128	6	7	8	19	22	23	2		"976,588,973"	11	"7,226,364"	300	"102,041"	"388,471,822"	2018/11/1
18127	2	5	6	7	11	15	12		"964,241,444"	13	"6,414,968"	202	"113,827"	"383,266,268"	2018/10/30
18126	1	6	8	9	14	22	5		"978,656,335"	8	"7,588,766"	138	"187,591"	"415,778,246"	2018/10/28
18125	3	10	11	14	15	32	2		"961,703,467"	3	"10,000,000"	54	"598,926"	"391,293,382"	2018/10/25
18124	9	13	14	19	22	25	2		"894,677,451"	4	"9,291,791"	127	"168,968"	"378,069,006"	2018/10/23
18123	13	21	24	27	31	32	1		"867,467,741"	6	"9,217,817"	115	"275,075"	"410,429,482"	2018/10/21
18122	5	7	20	22	30	32	10		"827,873,755"	31	"5,238,879"	230	"40,245"	"327,644,802"	2018/10/18
18121	6	8	14	19	23	25	11		"962,509,317"	11	"6,468,429"	142	"142,189"	"321,305,376"	2018/10/16
18120	3	4	18	26	27	33	1		"973,089,335"	5	"9,561,820"	185	"154,115"	"357,215,818"	2018/10/14
18119	3	13	14	16	25	27	12		"935,364,310"	10	"6,043,410"	117	"111,475"	"328,321,394"	2018/10/11
18118	8	12	21	22	27	31	9		"956,670,540"	7	"6,907,203"	140	"119,200"	"322,015,414"	2018/10/9
18117	8	11	15	17	23	25	5		"954,956,874"	6	"7,824,932"	189	"112,100"	"340,052,040"	2018/10/7
18116	5	14	17	22	23	28	15		"938,345,496"	44	"5,308,473"	320	"53,018"	"281,786,404"	2018/10/4
18115	1	13	19	24	26	29	11		"1,121,020,227"	1	"10,000,000"	52	"243,906"	"273,986,534"	2018/10/2
18114	1	7	15	16	20	27	14		"1,092,970,758"	6	"7,981,155"	203	"110,141"	"336,072,030"	2018/9/30
18113	1	6	9	16	25	26	9		"1,073,781,687"	11	"5,895,165"	208	"59,175"	"314,160,394"	2018/9/27
18112	5	8	18	25	26	31	4		"1,101,702,921"	11	"6,090,396"	154	"97,356"	"302,328,982"	2018/9/25
18111	1	7	14	24	25	28	8		"1,123,718,442"	11	"5,565,493"	143	"54,374"	"320,180,512"	2018/9/23
18110	11	13	16	21	22	23	2		"1,161,612,266"	2	"10,000,000"	66	"389,022"	"307,066,624"	2018/9/20
18109	10	11	18	23	31	33	15		"1,104,585,752"	4	"8,282,094"	69	"237,832"	"306,989,720"	2018/9/18
18108	5	13	18	21	26	30	2		"1,088,482,714"	22	"5,859,675"	179	"132,073"	"322,147,946"	2018/9/16
18107	1	2	5	12	20	22	1		"1,146,472,338"	6	"8,438,555"	139	"185,533"	"317,508,712"	2018/9/13
18106	4	18	19	24	25	26	10		"1,119,736,168"	4	"8,430,179"	125	"137,207"	"312,096,980"	2018/9/11
18105	4	5	13	18	19	25	1		"1,102,004,192"	17	"6,257,964"	150	"178,211"	"343,324,268"	2018/9/9
18104	2	3	6	19	25	29	1		"1,128,194,345"	5	"8,635,318"	158	"143,802"	"312,637,426"	2018/9/6
18103	2	9	15	22	23	24	16		"1,103,208,722"	7	"7,746,753"	111	"216,523"	"314,574,584"	2018/9/4
18102	2	6	11	19	21	28	5		"1,085,333,716"	4	"8,922,949"	163	"120,335"	"340,812,198"	2018/9/2
18101	1	3	14	26	29	33	9		"1,062,181,270"	5	"7,864,370"	70	"255,747"	"308,676,480"	2018/8/30
18100	2	11	14	15	29	33	2		"1,047,796,176"	3	"10,000,000"	91	"234,630"	"309,533,260"	2018/8/28
18099	3	7	8	14	25	32	6		"1,013,742,168"	12	"6,102,840"	242	"68,357"	"339,383,254"	2018/8/26
18098	6	10	11	20	29	32	13		"1,037,348,433"	9	"7,336,982"	125	"210,328"	"314,746,902"	2018/8/23
18097	1	2	17	20	25	28	13		"1,024,508,131"	1	"10,000,000"	38	"607,210"	"313,501,772"	2018/8/21
18096	1	5	9	20	28	32	12		"965,286,126"	23	"5,556,088"	150	"106,583"	"338,691,852"	2018/8/19
18095	10	11	12	21	26	33	9		"1,045,113,520"	4	"8,780,501"	87	"217,270"	"320,539,494"	2018/8/16
18094	4	7	16	20	24	30	5		"1,023,528,004"	0	0	148	"137,747"	"314,204,036"	2018/8/14
18093	4	18	20	21	29	33	7		"962,368,068"	3	"10,000,000"	78	"304,804"	"341,609,166"	2018/8/12
18092	6	10	16	19	24	33	16		"921,043,817"	1	"10,000,000"	95	"269,198"	"318,819,890"	2018/8/9
18091	6	11	13	17	25	32	7		"854,322,188"	4	"8,999,907"	81	"246,907"	"315,853,082"	2018/8/7
18090	1	2	4	10	14	23	7		"830,323,212"	12	"5,776,285"	85	"136,991"	"340,370,390"	2018/8/5
18089	6	9	12	14	18	27	14		"864,705,795"	5	"9,128,194"	172	"150,007"	"312,432,712"	2018/8/2
18088	3	5	12	29	30	32	14		"832,943,120"	8	"7,319,478"	69	"336,156"	"315,199,378"	2018/7/31
18087	1	5	10	16	18	31	3		"821,914,596"	3	"10,000,000"	74	"382,259"	"348,603,358"	2018/7/29
18086	2	7	17	21	23	26	16		"767,052,918"	18	"5,839,185"	109	"173,226"	"322,631,262"	2018/7/26
18085	4	10	25	26	30	33	6		"815,513,264"	8	"6,541,028"	88	"175,116"	"322,576,362"	2018/7/24
18084	5	6	8	12	22	24	3		"821,610,647"	13	"6,216,121"	249	"79,365"	"347,865,554"	2018/7/22
18083	4	9	18	21	32	33	3		"843,134,325"	11	"6,964,663"	126	"214,397"	"323,565,026"	2018/7/19
18082	6	12	14	20	22	24	9		"838,703,256"	8	"6,895,145"	140	"135,367"	"319,081,284"	2018/7/17
18081	1	2	12	16	20	26	3		"837,010,055"	5	"9,113,851"	154	"166,958"	"349,698,540"	2018/7/15
18080	4	7	13	20	29	33	3		"805,444,602"	6	"8,230,212"	128	"189,270"	"325,310,442"	2018/7/12
18079	14	15	17	22	24	29	13		"782,146,094"	2	"10,000,000"	77	"347,163"	"327,442,428"	2018/7/10
